physical_element,u1_label,u2_label,cps4_label,source_storage_ip,odb_ip,source_category,connectivity,centroid_x,centroid_y,distance_from_notch_tip
16990,16990,50842,84694,2,2,insufficient_output_evidence+staggered_sync_effect,17067 17068 17615 17614,0.0175,0.0005,0.0175071414
16991,16991,50843,84695,1,1,insufficient_output_evidence+staggered_sync_effect,17068 17069 17616 17615,0.0185,0.0005,0.0185067555233
16991,16991,50843,84695,2,2,insufficient_output_evidence+staggered_sync_effect,17068 17069 17616 17615,0.0185,0.0005,0.0185067555233
16992,16992,50844,84696,1,1,insufficient_output_evidence+staggered_sync_effect,17069 17070 17617 17616,0.0195,0.0005,0.0195064092031
16992,16992,50844,84696,2,2,insufficient_output_evidence+staggered_sync_effect,17069 17070 17617 17616,0.0195,0.0005,0.0195064092031
16993,16993,50845,84697,1,1,insufficient_output_evidence+staggered_sync_effect,17070 17071 17618 17617,0.0205,0.0005,0.0205060966544
16993,16993,50845,84697,2,2,insufficient_output_evidence+staggered_sync_effect,17070 17071 17618 17617,0.0205,0.0005,0.0205060966544
16994,16994,50846,84698,1,1,insufficient_output_evidence+staggered_sync_effect,17071 17072 17619 17618,0.0215,0.0005,0.0215058131676
16995,16995,50847,84699,1,1,insufficient_output_evidence+staggered_sync_effect,17072 17073 17620 17619,0.0225,0.0005,0.0225055548699
16995,16995,50847,84699,2,2,insufficient_output_evidence+staggered_sync_effect,17072 17073 17620 17619,0.0225,0.0005,0.0225055548699
16996,16996,50848,84700,1,1,insufficient_output_evidence+staggered_sync_effect,17073 17074 17621 17620,0.0235,0.0005,0.0235053185471
16996,16996,50848,84700,2,2,insufficient_output_evidence+staggered_sync_effect,17073 17074 17621 17620,0.0235,0.0005,0.0235053185471
16997,16997,50849,84701,1,1,insufficient_output_evidence+staggered_sync_effect,17074 17075 17622 17621,0.0245,0.0005,0.0245051015097
16997,16997,50849,84701,2,2,insufficient_output_evidence+staggered_sync_effect,17074 17075 17622 17621,0.0245,0.0005,0.0245051015097
16998,16998,50850,84702,1,1,insufficient_output_evidence+staggered_sync_effect,17075 17076 17623 17622,0.0255,0.0005,0.0255049014897
16998,16998,50850,84702,2,2,insufficient_output_evidence+staggered_sync_effect,17075 17076 17623 17622,0.0255,0.0005,0.0255049014897
16999,16999,50851,84703,1,1,insufficient_output_evidence+staggered_sync_effect,17076 17077 17624 17623,0.0265,0.0005,0.0265047165614
16999,16999,50851,84703,2,2,insufficient_output_evidence+staggered_sync_effect,17076 17077 17624 17623,0.0265,0.0005,0.0265047165614
17000,17000,50852,84704,1,1,insufficient_output_evidence+staggered_sync_effect,17077 17078 17625 17624,0.0275,0.0005,0.027504545079
17000,17000,50852,84704,2,2,insufficient_output_evidence+staggered_sync_effect,17077 17078 17625 17624,0.0275,0.0005,0.027504545079
17001,17001,50853,84705,1,1,insufficient_output_evidence+staggered_sync_effect,17078 17079 17626 17625,0.0285,0.0005,0.0285043856275
17001,17001,50853,84705,2,2,insufficient_output_evidence+staggered_sync_effect,17078 17079 17626 17625,0.0285,0.0005,0.0285043856275
17002,17002,50854,84706,1,1,insufficient_output_evidence+staggered_sync_effect,17079 17080 17627 17626,0.0295,0.0005,0.0295042369839
17002,17002,50854,84706,2,2,insufficient_output_evidence+staggered_sync_effect,17079 17080 17627 17626,0.0295,0.0005,0.0295042369839
17003,17003,50855,84707,1,1,insufficient_output_evidence+staggered_sync_effect,17080 17081 17628 17627,0.0305,0.0005,0.0305040980853
17003,17003,50855,84707,2,2,insufficient_output_evidence+staggered_sync_effect,17080 17081 17628 17627,0.0305,0.0005,0.0305040980853
17004,17004,50856,84708,1,1,insufficient_output_evidence+staggered_sync_effect,17081 17082 17629 17628,0.0315,0.0005,0.031503968004
17004,17004,50856,84708,2,2,insufficient_output_evidence+staggered_sync_effect,17081 17082 17629 17628,0.0315,0.0005,0.031503968004
17005,17005,50857,84709,1,1,insufficient_output_evidence+staggered_sync_effect,17082 17083 17630 17629,0.0325,0.0005,0.0325038459263
17005,17005,50857,84709,2,2,insufficient_output_evidence+staggered_sync_effect,17082 17083 17630 17629,0.0325,0.0005,0.0325038459263
17006,17006,50858,84710,1,1,insufficient_output_evidence+staggered_sync_effect,17083 17084 17631 17630,0.0335,0.0005,0.0335037311355
17006,17006,50858,84710,2,2,insufficient_output_evidence+staggered_sync_effect,17083 17084 17631 17630,0.0335,0.0005,0.0335037311355
17007,17007,50859,84711,1,1,insufficient_output_evidence+staggered_sync_effect,17084 17085 17632 17631,0.0345,0.0005,0.0345036229982
17007,17007,50859,84711,2,2,insufficient_output_evidence+staggered_sync_effect,17084 17085 17632 17631,0.0345,0.0005,0.0345036229982
17008,17008,50860,84712,1,1,insufficient_output_evidence+staggered_sync_effect,17085 17086 17633 17632,0.0355,0.0005,0.0355035209522
17008,17008,50860,84712,2,2,insufficient_output_evidence+staggered_sync_effect,17085 17086 17633 17632,0.0355,0.0005,0.0355035209522
17009,17009,50861,84713,1,1,insufficient_output_evidence+staggered_sync_effect,17086 17087 17634 17633,0.0365,0.0005,0.0365034244969
17009,17009,50861,84713,2,2,insufficient_output_evidence+staggered_sync_effect,17086 17087 17634 17633,0.0365,0.0005,0.0365034244969
17010,17010,50862,84714,1,1,staggered_sync_effect,17087 17088 17635 17634,0.0375,0.0005,0.0375033331852
17010,17010,50862,84714,2,2,staggered_sync_effect,17087 17088 17635 17634,0.0375,0.0005,0.0375033331852
17011,17011,50863,84715,1,1,staggered_sync_effect,17088 17089 17636 17635,0.0385,0.0005,0.0385032466164
17011,17011,50863,84715,2,2,staggered_sync_effect,17088 17089 17636 17635,0.0385,0.0005,0.0385032466164
