element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
53,3,0.00093719943265511,0.00093719943265511,0.0,0.0
53,4,0.0009315339309215158,0.0009315339309215158,0.0,0.0
54,1,0.0009497728595072606,0.0009497728595072606,0.0,0.0
54,2,0.0009575454959520988,0.0009575454959520988,0.0,0.0
54,3,0.0009526143592801318,0.0009526143592801318,0.0,0.0
54,4,0.0009442192689631318,0.0009442192689631318,0.0,0.0
55,1,0.0009669161263145703,0.0009669161263145703,0.0,0.0
55,2,0.000981493747818017,0.000981493747818017,0.0,0.0
55,3,0.0009843871162830704,0.0009843871162830704,0.0,0.0
55,4,0.0009646875140342721,0.0009646875140342721,0.0,0.0
56,1,0.0009900569073391537,0.0009900569073391537,0.0,0.0
56,2,0.0009965366896044381,0.0009965366896044381,0.0,0.0
56,3,0.0010017376820048085,0.0010017376820048085,0.0,0.0
56,4,0.0009951354528510321,0.0009951354528510321,0.0,0.0
57,1,0.0010103003208701122,0.0010103003208701122,0.0,0.0
57,2,0.0010147825557983436,0.0010147825557983436,0.0,0.0
57,3,0.0010108566074023824,0.0010108566074023824,0.0,0.0
57,4,0.0010064710902432771,0.0010064710902432771,0.0,0.0
58,1,0.0010209433814925542,0.0010209433814925542,0.0,0.0
58,2,0.001031828106276408,0.001031828106276408,0.0,0.0
58,3,0.0010330364508179487,0.0010330364508179487,0.0,0.0
58,4,0.001018427039522772,0.001018427039522772,0.0,0.0
59,1,0.0010390600968573772,0.0010390600968573772,0.0,0.0
59,2,0.0010452103338583105,0.0010452103338583105,0.0,0.0
59,3,0.0010492367363370044,0.0010492367363370044,0.0,0.0
59,4,0.001042429915384706,0.001042429915384706,0.0,0.0
60,1,0.0010557807686890567,0.0010557807686890567,0.0,0.0
60,2,0.0010581409784064663,0.0010581409784064663,0.0,0.0
60,3,0.0010552341324062296,0.0010552341324062296,0.0,0.0
60,4,0.0010532156134134129,0.0010532156134134129,0.0,0.0
61,1,0.0010618540972084027,0.0010618540972084027,0.0,0.0
61,2,0.0010693084048449257,0.0010693084048449257,0.0,0.0
61,3,0.0010694228384042104,0.0010694228384042104,0.0,0.0
61,4,0.001059551637899388,0.001059551637899388,0.0,0.0
62,1,0.0010749729227787184,0.0010749729227787184,0.0,0.0
62,2,0.001080499096421458,0.001080499096421458,0.0,0.0
62,3,0.0010835638259894492,0.0010835638259894492,0.0,0.0
62,4,0.001076992498290405,0.001076992498290405,0.0,0.0
63,1,0.0010825169986711223,0.0010825169986711223,0.0,0.0
63,2,0.0010910843880649235,0.0010910843880649235,0.0,0.0
63,3,0.0010887553921343678,0.0010887553921343678,0.0,0.0
63,4,0.0010853707059098828,0.0010853707059098828,0.0,0.0
64,1,0.0010933639539197552,0.0010933639539197552,0.0,0.0
64,2,0.0010985435003292739,0.0010985435003292739,0.0,0.0
64,3,0.0010978886083085624,0.0010978886083085624,0.0,0.0
64,4,0.0010912106815955185,0.0010912106815955185,0.0,0.0
65,1,0.001103069528873819,0.001103069528873819,0.0,0.0
65,2,0.0011082360412190716,0.0011082360412190716,0.0,0.0
65,3,0.0011106379249507445,0.0011106379249507445,0.0,0.0
65,4,0.0011040573787688673,0.0011040573787688673,0.0,0.0
66,1,0.0011105238113341442,0.0011105238113341442,0.0,0.0
66,2,0.001118990712201764,0.001118990712201764,0.0,0.0
66,3,0.001116737276314588,0.001116737276314588,0.0,0.0
66,4,0.0011130410010928998,0.0011130410010928998,0.0,0.0
67,1,0.0011205820901936613,0.0011205820901936613,0.0,0.0
