element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
20,3,3.5691672452720685e-05,3.5691672452720685e-05,0.0,0.0
20,4,2.8756769551840106e-05,2.8756769551840106e-05,0.0,0.0
21,1,3.774208908243852e-05,3.774208908243852e-05,0.0,0.0
21,2,4.043057304843925e-05,4.043057304843925e-05,0.0,0.0
21,3,4.2688726139924816e-05,4.2688726139924816e-05,0.0,0.0
21,4,3.977786393246081e-05,3.977786393246081e-05,0.0,0.0
22,1,5.089639817568226e-05,5.089639817568226e-05,0.0,0.0
22,2,5.403719172563277e-05,5.403719172563277e-05,0.0,0.0
22,3,5.0785689820378684e-05,5.0785689820378684e-05,0.0,0.0
22,4,4.767270710711701e-05,4.767270710711701e-05,0.0,0.0
23,1,5.8099842969775066e-05,5.8099842969775066e-05,0.0,0.0
23,2,6.531955481981522e-05,6.531955481981522e-05,0.0,0.0
23,3,6.586636220015489e-05,6.586636220015489e-05,0.0,0.0
23,4,5.58683522227677e-05,5.58683522227677e-05,0.0,0.0
24,1,7.046174428415245e-05,7.046174428415245e-05,0.0,0.0
24,2,7.546434180087591e-05,7.546434180087591e-05,0.0,0.0
24,3,7.890088027989019e-05,7.890088027989019e-05,0.0,0.0
24,4,7.29004827351323e-05,7.29004827351323e-05,0.0,0.0
25,1,7.739265082782239e-05,7.739265082782239e-05,0.0,0.0
25,2,9.504389188491586e-05,9.504389188491586e-05,0.0,0.0
25,3,9.003854838960016e-05,9.003854838960016e-05,0.0,0.0
25,4,8.062508027961142e-05,8.062508027961142e-05,0.0,0.0
26,1,9.99217263213923e-05,9.99217263213923e-05,0.0,0.0
26,2,0.00010971601703970612,0.00010971601703970612,0.0,0.0
26,3,0.00010884533831046514,0.00010884533831046514,0.0,0.0
26,4,9.567410097248948e-05,9.567410097248948e-05,0.0,0.0
27,1,0.00011764307736322388,0.00011764307736322388,0.0,0.0
27,2,0.0001264090212982671,0.0001264090212982671,0.0,0.0
27,3,0.00013120424955581837,0.00013120424955581837,0.0,0.0
27,4,0.00011991667928506175,0.00011991667928506175,0.0,0.0
28,1,0.00013031212012314182,0.00013031212012314182,0.0,0.0
28,2,0.00015362524587671982,0.00015362524587671982,0.0,0.0
28,3,0.00014715750092106185,0.00014715750092106185,0.0,0.0
28,4,0.00013530078737834886,0.00013530078737834886,0.0,0.0
29,1,0.00015845952675482277,0.00015845952675482277,0.0,0.0
29,2,0.00016954766645648482,0.00016954766645648482,0.0,0.0
29,3,0.00016635792446830535,0.00016635792446830535,0.0,0.0
29,4,0.00015216384385613086,0.00015216384385613086,0.0,0.0
30,1,0.00017981525346384274,0.00017981525346384274,0.0,0.0
30,2,0.00019290913974008198,0.00019290913974008198,0.0,0.0
30,3,0.00019844883103114878,0.00019844883103114878,0.0,0.0
30,4,0.0001806967488619282,0.0001806967488619282,0.0,0.0
31,1,0.00019970419942402258,0.00019970419942402258,0.0,0.0
31,2,0.00023192359503648453,0.00023192359503648453,0.0,0.0
31,3,0.00022431754967606218,0.00022431754967606218,0.0,0.0
31,4,0.0002064603831566643,0.0002064603831566643,0.0,0.0
32,1,0.00023622590800872106,0.00023622590800872106,0.0,0.0
32,2,0.00024730852006461665,0.00024730852006461665,0.0,0.0
32,3,0.00024141716393663115,0.00024141716393663115,0.0,0.0
32,4,0.00022812949580954317,0.00022812949580954317,0.0,0.0
33,1,0.0002587395233311108,0.0002587395233311108,0.0,0.0
33,2,0.00027503852930733735,0.00027503852930733735,0.0,0.0
33,3,0.0002799912823883371,0.0002799912823883371,0.0,0.0
33,4,0.00025714241685087616,0.00025714241685087616,0.0,0.0
34,1,0.0002844514906946509,0.0002844514906946509,0.0,0.0
34,2,0.00029200614269899155,0.00029200614269899155,0.0,0.0
34,3,0.000299715183250577,0.000299715183250577,0.0,0.0
34,4,0.0002919953222859414,0.0002919953222859414,0.0,0.0
35,1,0.0003282142576021554,0.0003282142576021554,0.0,0.0
35,2,0.00033976144634875836,0.00033976144634875836,0.0,0.0
35,3,0.00033097501368746236,0.00033097501368746236,0.0,0.0
35,4,0.00031830436233285805,0.00031830436233285805,0.0,0.0
36,1,0.0003529375644095716,0.0003529375644095716,0.0,0.0
36,2,0.00037353212689968747,0.00037353212689968747,0.0,0.0
36,3,0.00037732569869780976,0.00037732569869780976,0.0,0.0
36,4,0.0003483816302592555,0.0003483816302592555,0.0,0.0
37,1,0.00038633429798011287,0.00038633429798011287,0.0,0.0
