event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
304,191,192,84148,4,16444,199.30021667480469,199.30021667480469,0,false
305,188,189,84143,4,16439,201.2158203125,201.2158203125,0,false
306,190,191,84131,4,16427,220.88490295410156,220.88490295410156,0,false
307,187,188,84136,4,16432,201.35389709472656,201.35389709472656,0,false
308,200,201,84677,1,16973,1589.4234619140625,1626.9276123046875,37.504150390625,false
309,199,200,84705,2,17001,172.22897338867188,172.22897338867188,0,false
310,197,198,84701,2,16997,192.02128601074219,192.02128601074219,0,false
311,188,189,84134,3,16430,204.5533447265625,204.5533447265625,0,false
312,197,198,84702,2,16998,185.27032470703125,185.27032470703125,0,false
313,191,192,84677,2,16973,1253.22705078125,1320.023681640625,66.796630859375,false
314,191,192,84141,3,16437,202.16667175292969,202.16667175292969,0,false
315,187,188,84141,3,16437,202.16667175292969,202.16667175292969,0,false
316,195,196,84148,4,16444,199.30021667480469,199.30021667480469,0,false
317,188,189,84133,4,16429,207.03047180175781,207.03047180175781,0,false
318,188,189,84677,2,16973,1002.5615234375,1127.7802734375,125.21875,false
319,197,198,84702,1,16998,188.8824462890625,188.8824462890625,0,false
320,196,197,84707,1,17003,170.42758178710938,170.42758178710938,0,false
321,195,196,84704,1,17000,177.920654296875,177.920654296875,0,false
322,200,201,84710,2,17006,165.88113403320312,165.88113403320312,0,false
323,192,193,84143,3,16439,201.6207275390625,201.6207275390625,0,false
324,188,189,84135,3,16431,202.22296142578125,202.22296142578125,0,false
325,190,191,84677,1,16973,856.555908203125,912.62103271484375,56.06512451171875,false
326,196,197,84131,4,16427,220.88490295410156,220.88490295410156,0,false
327,189,190,84678,1,16974,1366.3177490234375,1431.13232421875,64.8145751953125,false
328,188,189,84134,4,16430,203.03425598144531,203.03425598144531,0,false
329,198,199,84699,2,16995,234.46279907226562,245.94471740722656,11.481918334960938,false
330,199,200,84700,2,16996,201.78329467773438,201.78329467773438,0,false
331,199,200,84713,1,17009,172.16026306152344,172.16026306152344,0,false
332,189,190,84137,4,16433,201.32418823242188,201.32418823242188,0,false
333,197,198,84707,2,17003,168.27008056640625,168.27008056640625,0,false
334,190,191,84141,4,16437,201.84580993652344,201.84580993652344,0,false
335,182,183,84135,3,16431,202.22296142578125,202.22296142578125,0,false
336,199,200,84705,1,17001,174.6923828125,174.6923828125,0,false
337,190,191,84146,3,16442,200.05628967285156,200.05628967285156,0,false
338,189,190,84132,3,16428,268.68121337890625,268.68121337890625,0,false
339,194,195,84149,3,16445,199.65434265136719,199.65434265136719,0,false
340,193,194,84145,3,16441,200.65788269042969,200.65788269042969,0,false
341,200,201,84713,2,17009,167.05715942382812,167.05715942382812,0,false
342,184,185,84137,3,16433,201.17720031738281,201.17720031738281,0,false
343,198,199,84152,3,16448,208.39920043945312,208.39920043945312,0,false
344,191,192,84140,4,16436,201.89346313476562,201.89346313476562,0,false
345,199,200,84699,2,16995,245.94471740722656,261.83547973632812,15.890762329101562,false
346,192,193,84677,2,16973,1320.023681640625,1383.1883544921875,63.1646728515625,false
347,187,188,84136,3,16432,201.05180358886719,201.05180358886719,0,false
348,199,200,84704,2,17000,175.920654296875,175.920654296875,0,false
349,192,193,84142,4,16438,201.68635559082031,201.68635559082031,0,false
350,196,197,84150,3,16446,200.54454040527344,200.54454040527344,0,false
351,200,201,84710,1,17006,170.86392211914062,170.86392211914062,0,false
352,188,189,84133,3,16429,209.57473754882812,209.57473754882812,0,false
353,194,195,84152,3,16448,208.39920043945312,208.39920043945312,0,false
354,198,199,84131,4,16427,220.88490295410156,220.88490295410156,0,false
355,195,196,84148,3,16444,199.46234130859375,199.46234130859375,0,false
356,189,190,84137,3,16433,201.17720031738281,201.17720031738281,0,false
357,199,200,84701,1,16997,197.03854370117188,197.03854370117188,0,false
358,186,187,84141,3,16437,202.16667175292969,202.16667175292969,0,false
359,189,190,84132,4,16428,257.94308471679688,257.94308471679688,0,false
360,193,194,84144,4,16440,200.74501037597656,200.74501037597656,0,false
361,192,193,84150,4,16446,201.81407165527344,201.81407165527344,0,false
362,196,197,84153,3,16449,223.17848205566406,223.17848205566406,0,false
363,199,200,84704,1,17000,177.920654296875,177.920654296875,0,false
364,197,198,84708,1,17004,170.177734375,170.177734375,0,false
365,194,195,84148,4,16444,199.30021667480469,199.30021667480469,0,false
366,189,190,84133,4,16429,207.03047180175781,207.03047180175781,0,false
367,187,188,84135,4,16431,202.06367492675781,202.06367492675781,0,false
