element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
71,2,2,2,F1_equilibrated,F3_release_last,3.3407716721473024e-05,5.942318882119161e-06
71,3,4,3,F1_equilibrated,F3_release_last,1.5447720696917105e-05,4.421481838615127e-06
71,4,3,4,F1_equilibrated,F3_release_last,3.426651600382975e-05,8.092118541505513e-06
72,1,1,1,F1_equilibrated,F3_release_last,3.395445469913522e-05,6.3480120726816e-06
72,2,2,2,F1_equilibrated,F3_release_last,3.9445135493958866e-05,9.737146307247247e-06
72,3,4,3,F1_equilibrated,F3_release_last,3.5243935609791804e-05,6.776406251872641e-06
72,4,3,4,F1_equilibrated,F3_release_last,1.5709619490999333e-05,3.5933851119656236e-06
73,1,1,1,F1_equilibrated,F3_release_last,4.173967747651483e-05,2.915114402223624e-06
73,2,2,2,F1_equilibrated,F3_release_last,4.251780195813418e-05,6.35788333717773e-06
73,3,4,3,F1_equilibrated,F3_release_last,4.612633066834737e-05,1.0655146846443898e-05
73,4,3,4,F1_equilibrated,F3_release_last,4.339406880617472e-05,7.087230257201349e-06
74,1,1,1,F1_equilibrated,F3_release_last,4.044948289562422e-05,6.596544120817836e-06
74,2,2,2,F1_equilibrated,F3_release_last,3.4020605648971136e-05,4.970046327529894e-06
74,3,4,3,F1_equilibrated,F3_release_last,1.665110633481369e-05,4.118981862592536e-06
74,4,3,4,F1_equilibrated,F3_release_last,3.896057547093067e-05,9.535296460886841e-06
75,1,1,1,F1_equilibrated,F3_release_last,3.5577153995106775e-05,4.606065540818313e-06
75,2,2,2,F1_equilibrated,F3_release_last,4.625860040784538e-05,7.930078917191751e-06
75,3,4,3,F1_equilibrated,F3_release_last,3.797271704905972e-05,3.533170287894471e-06
75,4,3,4,F1_equilibrated,F3_release_last,1.6386410468437196e-05,1.2925083571369445e-06
76,1,1,1,F1_equilibrated,F3_release_last,5.1805942323526755e-05,1.3440510989415474e-05
76,2,2,2,F1_equilibrated,F3_release_last,5.6280115871384234e-05,4.619861626485198e-06
76,3,4,3,F1_equilibrated,F3_release_last,5.887803230962031e-05,1.1170958050662257e-05
76,4,3,4,F1_equilibrated,F3_release_last,4.935831280649186e-05,9.445384548809966e-06
77,1,1,1,F1_equilibrated,F3_release_last,5.521068887832416e-05,6.3732101770941005e-06
77,2,2,2,F1_equilibrated,F3_release_last,4.781478645043448e-05,4.734959205745593e-06
77,3,4,3,F1_equilibrated,F3_release_last,4.835157214116807e-05,5.3006271817021555e-06
77,4,3,4,F1_equilibrated,F3_release_last,5.8608276961358285e-05,1.1845991490650343e-05
78,1,1,1,F1_equilibrated,F3_release_last,5.1976229168700094e-05,3.4075482222945767e-06
78,2,2,2,F1_equilibrated,F3_release_last,7.074140453567843e-05,6.31812219800622e-06
78,3,4,3,F1_equilibrated,F3_release_last,2.5825439754123894e-05,0.0
78,4,3,4,F1_equilibrated,F3_release_last,3.956743738589043e-05,0.0
79,1,1,1,F1_equilibrated,F3_release_last,0.0001056644257272886,1.3149034111960061e-05
