node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
210,0.08750000000000002,-0.475,0.00840418718099616,0.008526883166198275,0.00012269598520211512,0.00026573041742018744
211,0.09999999999999998,-0.475,0.008863406893587134,0.008889944756025944,2.6537862438809692e-05,0.00015886629128933176
212,0.11250000000000004,-0.475,0.00947233123458931,0.009267255901776022,-0.0002050753328132881,-0.0001035039997998588
213,0.125,-0.475,0.009467075715117762,0.00953511557142502,6.803985630725838e-05,0.0002021343346360234
214,0.13749999999999996,-0.475,0.009767007474550686,0.009819164146632047,5.2156672081360433e-05,0.00019450736026036843
215,0.15000000000000002,-0.475,0.010200108865795428,0.010129364498716839,-7.074436707858907e-05,3.985507080684139e-05
216,0.16249999999999998,-0.475,0.010348323906736297,0.010362736309753841,1.441240301754479e-05,0.00014350733437356981
217,0.17500000000000004,-0.475,0.01052499193564624,0.01058280995623197,5.781802058573045e-05,0.0002013905564047947
218,0.1875,-0.475,0.010875665409653906,0.010839290072382454,-3.6375337271452035e-05,7.010993309335134e-05
219,0.19999999999999996,-0.475,0.011037966767034365,0.011030659366253855,-7.307400780509274e-06,0.00010123707952781197
220,0.21250000000000002,-0.475,0.011136683267774412,0.011193894027043303,5.721075926889106e-05,0.0001801343267613508
221,0.22499999999999998,-0.475,0.011393622918268639,0.011383283074631573,-1.033984363706629e-05,8.719351505104105e-05
222,0.23750000000000004,-0.475,0.011549874382704946,0.011527851679395996,-2.2022703308949287e-05,7.47187877413475e-05
223,0.25,-0.475,0.011553092944370538,0.011641335905621152,8.824296125061436e-05,0.0002028556307993399
224,0.26249999999999996,-0.475,0.011784253945551267,0.01177921790050771,-5.036045043557355e-06,9.23859223593039e-05
225,0.275,-0.475,0.011928958731092362,0.011895693953699361,-3.326477739300053e-05,5.6515774724727116e-05
226,0.2875,-0.475,0.011929313250608677,0.011982985262008453,5.3672011399776356e-05,0.00015725373685503662
227,0.30000000000000004,-0.475,0.01208869801534868,0.012089667533895695,9.695185470143253e-07,9.355514754303372e-05
228,0.3125,-0.475,0.012237737721406258,0.012192821453940537,-4.491626746572046e-05,3.5719648436122534e-05
229,0.32499999999999996,-0.475,0.012237903314374382,0.012270552299849016,3.264898547463389e-05,0.0001248171674770402
230,0.3375,-0.475,0.012355392228253954,0.012365330022651489,9.937794397535393e-06,9.758181657966783e-05
231,0.35,-0.475,0.012505847084659606,0.01247088208068129,-3.496500397831559e-05,4.048928834866211e-05
232,0.36250000000000004,-0.475,0.012544804060879702,0.012560095730407918,1.5291669528216464e-05,0.00010034970451946838
