node,x,y,reconstructed_residual,forensic_residual,residual_error
220,0.21250000000000002,-0.475,-8.162962171635913e-09,-8.162962171636038e-09,1.2407709188295415e-22
221,0.22499999999999998,-0.475,1.4210696515180318e-09,1.4210696515180222e-09,9.512577044359818e-24
222,0.23750000000000004,-0.475,2.104763423493781e-09,2.1047634234934158e-09,3.652002404421617e-22
223,0.25,-0.475,-1.2081350163254232e-08,-1.2081350163254192e-08,-3.970466940254533e-23
224,0.26249999999999996,-0.475,5.82323288086472e-10,5.823232880863372e-10,1.348304398461435e-22
225,0.275,-0.475,3.130714129723253e-09,3.13071412972297e-09,2.8289576949313546e-22
226,0.2875,-0.475,-6.487829666694193e-09,-6.487829666694057e-09,-1.3648480107124957e-22
227,0.30000000000000004,-0.475,3.810640586282349e-10,3.8106405862847154e-10,-2.366253539784505e-22
228,0.3125,-0.475,5.9618255726971185e-09,5.961825572697028e-09,9.016268676828002e-23
229,0.32499999999999996,-0.475,-2.808683637199484e-09,-2.8086836371993442e-09,-1.3979352352146168e-22
230,0.3375,-0.475,-3.9377886515623505e-10,-3.9377886515609133e-10,-1.4372263143108856e-22
231,0.35,-0.475,5.430822930608292e-09,5.430822930608091e-09,2.0100488885038572e-22
232,0.36250000000000004,-0.475,-1.2423397650451253e-09,-1.242339765045123e-09,-2.274746684520826e-24
233,0.375,-0.475,-3.6194380661894853e-09,-3.619438066189728e-09,2.427775097843136e-22
234,0.38749999999999996,-0.475,5.876267432627168e-09,5.876267432626872e-09,2.961306592939839e-22
235,0.4,-0.475,8.569047676425755e-10,8.569047676429047e-10,-3.291144862195359e-22
236,0.4125,-0.475,-6.698347383250234e-09,-6.698347383250211e-09,-2.3161057151484775e-23
237,0.42500000000000004,-0.475,5.427518479056542e-09,5.427518479056306e-09,2.365736551901659e-22
238,0.4375,-0.475,4.674100705462029e-09,4.6741007054617884e-09,2.4070955825293105e-22
239,0.44999999999999996,-0.475,-8.860223104352609e-09,-8.860223104352657e-09,4.7976475528075605e-23
240,0.4625,-0.475,-5.3119996865970566e-11,-5.311999686618729e-11,2.1672132048889325e-22
241,0.475,-0.475,4.885538486794917e-09,4.885538486794694e-09,2.2251158477676444e-22
242,0.48750000000000004,-0.475,-1.5647269700684134e-09,-1.5647269700686084e-09,1.9500782940937627e-22
243,0.5,-0.475,-2.1388705198330087e-09,-2.1388705198329653e-09,-4.342698215903395e-23
244,-0.5,-0.4625,-1.0389578678771954e-09,-1.038957867877198e-09,2.68833699079734e-24
245,-0.4875,-0.4625,-1.0362913693492728e-09,-1.0362913693492804e-09,7.651420666115506e-24
246,-0.475,-0.4625,3.1286675026547594e-10,3.1286675026547444e-10,1.4992648602523627e-24
247,-0.4625,-0.4625,-1.0378019525772595e-09,-1.0378019525772527e-09,-6.824240053562478e-24
248,-0.45,-0.4625,-1.302592156157396e-09,-1.3025921561573991e-09,3.1019272970738538e-24
249,-0.4375,-0.4625,-1.9942208154340917e-09,-1.9942208154340905e-09,-1.2407709188295415e-24
250,-0.425,-0.4625,2.4026679008510457e-09,2.4026679008510494e-09,-3.7223127564886245e-24
251,-0.4125,-0.4625,9.915081087438597e-10,9.915081087438606e-10,-8.271806125530277e-25
252,-0.4,-0.4625,-1.942137069423952e-09,-1.9421370694239527e-09,8.271806125530277e-25
253,-0.3875,-0.4625,1.105068377383494e-10,1.1050683773834924e-10,1.550963648536927e-25
254,-0.375,-0.4625,9.88611785795995e-10,9.886117857959952e-10,-2.0679515313825692e-25
255,-0.3625,-0.4625,-1.323462280859014e-10,-1.3234622808590271e-10,1.3183191012563879e-24
256,-0.35,-0.4625,-1.43528816529446e-10,-1.4352881652944544e-10,-5.686866711302065e-25
257,-0.3375,-0.4625,-2.2318833941432124e-09,-2.2318833941432132e-09,8.271806125530277e-25
258,-0.325,-0.4625,2.67490292827458e-09,2.67490292827458e-09,0.0
259,-0.3125,-0.4625,-2.447996788265877e-10,-2.447996788265894e-10,1.7060600133906196e-24
260,-0.3,-0.4625,-5.6310608753835364e-09,-5.631060875383537e-09,8.271806125530277e-25
