node,x,y,d_F1,d_compatible,d_compatible_minus_F1
179,-0.3,-0.475,0.00013393313613256337,0.0001474541233675686,1.3520987235005218e-05
180,-0.2875,-0.475,0.0002154928395177309,0.0002154928395177309,0.0
181,-0.275,-0.475,0.00023876874475492016,0.0002622269838900271,2.3458239135106917e-05
182,-0.2625,-0.475,0.00030823873190221403,0.0003356870459258745,2.7448314023660494e-05
183,-0.25,-0.475,0.0004626226092822026,0.0004626226092822026,0.0
184,-0.2375,-0.475,0.0005207810748417066,0.0005322152064397421,1.1434131598035474e-05
185,-0.22499999999999998,-0.475,0.0005899204250950703,0.0006457638897047357,5.5843464609665384e-05
186,-0.21250000000000002,-0.475,0.0008240561960972914,0.0008240561960972914,0.0
187,-0.2,-0.475,0.0009552999392285891,0.0009552999392285891,0.0
188,-0.1875,-0.475,0.0010179747713159085,0.0010987802912957936,8.080551997988509e-05
189,-0.175,-0.475,0.00132102775677763,0.00132102775677763,0.0
190,-0.16249999999999998,-0.475,0.0015750792161750172,0.0015750792161750172,0.0
191,-0.15000000000000002,-0.475,0.0016378142131400083,0.001742823167319553,0.0001050089541795448
192,-0.1375,-0.475,0.001963563216016923,0.002003501968426856,3.993875240993318e-05
193,-0.125,-0.475,0.002377873140337545,0.002377873140337545,0.0
194,-0.11249999999999999,-0.475,0.0024667252186440724,0.002551225253593021,8.450003494894862e-05
195,-0.09999999999999998,-0.475,0.002758662500539718,0.0028608757516933453,0.00010221325115362728
196,-0.08750000000000002,-0.475,0.0033181556062204173,0.0033181556062204173,0.0
197,-0.07500000000000001,-0.475,0.0034825190210502855,0.0035348649243715966,5.2345903321311064e-05
198,-0.0625,-0.475,0.0037250471627894525,0.003883202090973742,0.0001581549281842896
199,-0.04999999999999999,-0.475,0.0043770008566462225,0.0043770008566462225,0.0
200,-0.03749999999999998,-0.475,0.004654341205732932,0.004672353157196583,1.801195146365099e-05
201,-0.025000000000000022,-0.475,0.0048540728791737625,0.005035649780639275,0.0001815769014655126
202,-0.012500000000000011,-0.475,0.0055157503815070254,0.0055157503815070254,0.0
203,0.0,-0.475,0.005931421759707695,0.005931421759707695,0.0
