node,x,y,F1_phase_residual,F1_phase_residual_abs
5014,-0.09999999999999998,0.26249999999999996,1.0334825499081658e-08,1.0334825499081658e-08
5015,-0.08750000000000002,0.26249999999999996,-3.667666817382756e-09,3.667666817382756e-09
5016,-0.07500000000000001,0.26249999999999996,-1.699793536999267e-08,1.699793536999267e-08
5017,-0.0625,0.26249999999999996,2.194734552373804e-08,2.194734552373804e-08
5018,-0.04999999999999999,0.26249999999999996,-4.919973996456748e-08,4.919973996456748e-08
5019,-0.03749999999999998,0.26249999999999996,4.386214629672327e-08,4.386214629672327e-08
5020,-0.025000000000000022,0.26249999999999996,-4.261221554500069e-08,4.261221554500069e-08
5021,-0.012500000000000011,0.26249999999999996,4.662732817662513e-08,4.662732817662513e-08
5022,0.0,0.26249999999999996,-4.8036187683852524e-08,4.8036187683852524e-08
5023,0.012499999999999956,0.26249999999999996,8.594422840889472e-08,8.594422840889472e-08
5024,0.025000000000000022,0.26249999999999996,4.00339213717733e-09,4.00339213717733e-09
5025,0.03749999999999998,0.26249999999999996,-6.020099248967253e-08,6.020099248967253e-08
5026,0.050000000000000044,0.26249999999999996,3.1345821593746036e-08,3.1345821593746036e-08
5027,0.0625,0.26249999999999996,-1.7674924382742706e-08,1.7674924382742706e-08
5028,0.07499999999999996,0.26249999999999996,-5.204535383055419e-10,5.204535383055419e-10
5029,0.08750000000000002,0.26249999999999996,3.643302115495153e-08,3.643302115495153e-08
5030,0.09999999999999998,0.26249999999999996,1.6241764112297884e-09,1.6241764112297884e-09
5031,0.11250000000000004,0.26249999999999996,1.667881990867794e-08,1.667881990867794e-08
5032,0.125,0.26249999999999996,-3.443715835001187e-09,3.443715835001187e-09
5033,0.13749999999999996,0.26249999999999996,-8.201095371550249e-09,8.201095371550249e-09
5034,0.15000000000000002,0.26249999999999996,1.0826214032941848e-08,1.0826214032941848e-08
5035,0.16249999999999998,0.26249999999999996,-8.00875348584821e-09,8.00875348584821e-09
5036,0.17500000000000004,0.26249999999999996,-2.2268829175686948e-09,2.2268829175686948e-09
5037,0.1875,0.26249999999999996,2.6194857518394953e-10,2.6194857518394953e-10
5038,0.19999999999999996,0.26249999999999996,2.4967143292839617e-09,2.4967143292839617e-09
5039,0.21250000000000002,0.26249999999999996,-1.9791639504450844e-09,1.9791639504450844e-09
5040,0.22499999999999998,0.26249999999999996,-1.4304191621818077e-09,1.4304191621818077e-09
5041,0.23750000000000004,0.26249999999999996,4.5124224644737107e-10,4.5124224644737107e-10
5042,0.25,0.26249999999999996,-2.0131627925096211e-10,2.0131627925096211e-10
5043,0.26249999999999996,0.26249999999999996,3.4916461875997077e-10,3.4916461875997077e-10
5044,0.275,0.26249999999999996,1.608371399694492e-09,1.608371399694492e-09
5045,0.2875,0.26249999999999996,-5.057872851071078e-09,5.057872851071078e-09
5046,0.30000000000000004,0.26249999999999996,-1.3383936707783616e-09,1.3383936707783616e-09
5047,0.3125,0.26249999999999996,4.6185852556468345e-09,4.6185852556468345e-09
5048,0.32499999999999996,0.26249999999999996,-3.3409154712031937e-09,3.3409154712031937e-09
5049,0.3375,0.26249999999999996,5.028384054004911e-09,5.028384054004911e-09
5050,0.35,0.26249999999999996,2.5651555898988526e-09,2.5651555898988526e-09
5051,0.36250000000000004,0.26249999999999996,3.954846395884742e-09,3.954846395884742e-09
5052,0.375,0.26249999999999996,2.233592168942423e-09,2.233592168942423e-09
5053,0.38749999999999996,0.26249999999999996,-1.461917224482324e-09,1.461917224482324e-09
5054,0.4,0.26249999999999996,3.9617669604785134e-10,3.9617669604785134e-10
5055,0.4125,0.26249999999999996,-6.55580213782448e-09,6.55580213782448e-09
5056,0.42500000000000004,0.26249999999999996,-4.612562750015717e-09,4.612562750015717e-09
5057,0.4375,0.26249999999999996,-1.2490483037058833e-08,1.2490483037058833e-08
5058,0.44999999999999996,0.26249999999999996,-9.920392675732079e-09,9.920392675732079e-09
5059,0.4625,0.26249999999999996,-1.8049081625882433e-08,1.8049081625882433e-08
5060,0.475,0.26249999999999996,-2.2344616770652303e-08,2.2344616770652303e-08
5061,0.48750000000000004,0.26249999999999996,-1.2597616029170589e-08,1.2597616029170589e-08
5062,0.5,0.26249999999999996,-1.2888736485608694e-09,1.2888736485608694e-09
5063,-0.5,0.275,-1.5297520380682414e-10,1.5297520380682414e-10
5064,-0.4875,0.275,-7.221536198749706e-10,7.221536198749706e-10
5065,-0.475,0.275,-5.806309172705143e-10,5.806309172705143e-10
5066,-0.4625,0.275,-4.358061012422198e-10,4.358061012422198e-10
5067,-0.45,0.275,-1.405097989810395e-09,1.405097989810395e-09
5068,-0.4375,0.275,6.03824296656616e-10,6.03824296656616e-10
5069,-0.425,0.275,5.06196409863806e-10,5.06196409863806e-10
5070,-0.4125,0.275,-7.974214459430159e-10,7.974214459430159e-10
5071,-0.4,0.275,4.670473865364212e-10,4.670473865364212e-10
5072,-0.3875,0.275,2.7781031614395165e-10,2.7781031614395165e-10
5073,-0.375,0.275,-7.120476288255803e-10,7.120476288255803e-10
5074,-0.3625,0.275,-2.835316729735687e-10,2.835316729735687e-10
5075,-0.35,0.275,8.606180564828638e-11,8.606180564828638e-11
5076,-0.3375,0.275,3.8028961531955494e-10,3.8028961531955494e-10
5077,-0.325,0.275,-3.2346778922921666e-10,3.2346778922921666e-10
5078,-0.3125,0.275,7.670486957808233e-10,7.670486957808233e-10
5079,-0.3,0.275,4.709820394114782e-10,4.709820394114782e-10
5080,-0.2875,0.275,2.180424519598698e-10,2.180424519598698e-10
5081,-0.275,0.275,-3.0583071550547645e-09,3.0583071550547645e-09
5082,-0.2625,0.275,2.1921746791363056e-09,2.1921746791363056e-09
5083,-0.25,0.275,1.2332889625279914e-09,1.2332889625279914e-09
5084,-0.2375,0.275,-3.882370040392721e-10,3.882370040392721e-10
5085,-0.22499999999999998,0.275,-6.293121515273497e-09,6.293121515273497e-09
5086,-0.21250000000000002,0.275,5.374750938481456e-09,5.374750938481456e-09
5087,-0.2,0.275,3.5652615044640955e-09,3.5652615044640955e-09
5088,-0.1875,0.275,-2.58988304843195e-09,2.58988304843195e-09
5089,-0.175,0.275,-7.577320465375327e-09,7.577320465375327e-09
5090,-0.16249999999999998,0.275,-6.682961894667304e-09,6.682961894667304e-09
5091,-0.15000000000000002,0.275,1.2784465801456801e-08,1.2784465801456801e-08
5092,-0.1375,0.275,-9.49199323119644e-09,9.49199323119644e-09
5093,-0.125,0.275,8.909525654351744e-09,8.909525654351744e-09
5094,-0.11249999999999999,0.275,-1.6056589491885288e-08,1.6056589491885288e-08
5095,-0.09999999999999998,0.275,6.979932775478411e-09,6.979932775478411e-09
5096,-0.08750000000000002,0.275,-1.216469187849361e-09,1.216469187849361e-09
5097,-0.07500000000000001,0.275,-4.92860292255982e-10,4.92860292255982e-10
5098,-0.0625,0.275,2.488135592476958e-08,2.488135592476958e-08
5099,-0.04999999999999999,0.275,-1.702299908614322e-08,1.702299908614322e-08
5100,-0.03749999999999998,0.275,3.5705224877231213e-08,3.5705224877231213e-08
5101,-0.025000000000000022,0.275,-3.048299134840531e-08,3.048299134840531e-08
5102,-0.012500000000000011,0.275,2.947409842697507e-08,2.947409842697507e-08
5103,0.0,0.275,-3.684060366604539e-08,3.684060366604539e-08
5104,0.012499999999999956,0.275,-9.09601090429111e-09,9.09601090429111e-09
5105,0.025000000000000022,0.275,8.742692889746531e-09,8.742692889746531e-09
5106,0.03749999999999998,0.275,-3.2844200522810126e-08,3.2844200522810126e-08
5107,0.050000000000000044,0.275,2.0118274142688487e-08,2.0118274142688487e-08
5108,0.0625,0.275,-7.56414458087714e-09,7.56414458087714e-09
5109,0.07499999999999996,0.275,-4.270416864879604e-08,4.270416864879604e-08
5110,0.08750000000000002,0.275,-3.293837538970443e-09,3.293837538970443e-09
5111,0.09999999999999998,0.275,-6.350531929471238e-09,6.350531929471238e-09
5112,0.11250000000000004,0.275,-1.2554127234886394e-08,1.2554127234886394e-08
5113,0.125,0.275,1.6868387113843124e-08,1.6868387113843124e-08
5114,0.13749999999999996,0.275,-1.8128041996842667e-08,1.8128041996842667e-08
5115,0.15000000000000002,0.275,9.340399052036034e-09,9.340399052036034e-09
5116,0.16249999999999998,0.275,4.075777790929191e-09,4.075777790929191e-09
5117,0.17500000000000004,0.275,4.032879239292994e-09,4.032879239292994e-09
5118,0.1875,0.275,-4.1347914753617645e-09,4.1347914753617645e-09
5119,0.19999999999999996,0.275,-9.931683913722125e-10,9.931683913722125e-10
5120,0.21250000000000002,0.275,-5.144666355206011e-10,5.144666355206011e-10
5121,0.22499999999999998,0.275,1.8445666028301624e-09,1.8445666028301624e-09
5122,0.23750000000000004,0.275,-9.449157128448482e-10,9.449157128448482e-10
5123,0.25,0.275,-1.6608573959213591e-09,1.6608573959213591e-09
5124,0.26249999999999996,0.275,1.6543894764194545e-11,1.6543894764194545e-11
5125,0.275,0.275,2.0214688670706993e-09,2.0214688670706993e-09
5126,0.2875,0.275,1.7996709114621726e-10,1.7996709114621726e-10
5127,0.30000000000000004,0.275,3.808555381618651e-11,3.808555381618651e-11
5128,0.3125,0.275,1.7532824448263516e-09,1.7532824448263516e-09
5129,0.32499999999999996,0.275,-4.185575109159557e-09,4.185575109159557e-09
5130,0.3375,0.275,-4.822759288566964e-10,4.822759288566964e-10
