step,step_time,variable,value
Step-1,0.007000000216066837,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.00800000037997961,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.008999999612569809,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.009999999776482582,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.010999999940395355,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.012000000104308128,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.013000000268220901,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.014000000432133675,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.014999999664723873,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.01600000075995922,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.017000000923871994,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.017999999225139618,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.01899999938905239,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.019999999552965164,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.020999999716877937,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.02199999988079071,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.023000000044703484,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.024000000208616257,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.02500000037252903,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.026000000536441803,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.027000000700354576,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.02800000086426735,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.028999999165534973,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.029999999329447746,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.03099999949336052,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.03200000151991844,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.032999999821186066,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.03400000184774399,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.03500000014901161,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.035999998450279236,"ALLAE (Repeated: key = Step-1, 15)",0.0
Step-1,0.03700000047683716,"ALLAE (Repeated: key = Step-1, 15)",0.0
