element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
184,8.690079636241342e-11,5.636088491302832e-14,8.695715724732644e-11
185,1.0279993651769557e-10,6.308302290938663e-14,1.0286301954060496e-10
186,9.659180506339673e-11,4.865629730031104e-14,9.664046136069703e-11
187,1.0692099987085086e-10,4.714227778102384e-14,1.0696814214863188e-10
188,9.961179575144578e-11,3.756294208864068e-14,9.964935869353441e-11
189,1.7242275860749235e-11,8.149029002716756e-14,1.7323766150776402e-11
190,8.045641918386555e-12,6.385966970861358e-14,8.109501588095168e-12
191,2.2753750973204994e-12,1.6399548221977126e-14,2.2917746455424767e-12
192,1.3737920983292405e-12,1.368905109716515e-15,1.375161003438957e-12
193,8.293811765176965e-13,2.2953856684486762e-15,8.316765621861452e-13
194,1.7324455788795472e-12,5.498990685116647e-16,1.7329954779480588e-12
195,5.117132155222007e-12,1.8924867212270786e-15,5.119024641943234e-12
196,1.725386480677793e-12,5.461690104841722e-16,1.7259326496882771e-12
197,1.8488089063823344e-12,5.828850820688946e-16,1.849391791464403e-12
198,1.2844792438215626e-11,6.465558023271073e-15,1.2851257996238897e-11
199,4.796191460913272e-12,1.7234102170342641e-15,4.797914871130306e-12
200,1.4348598048096916e-12,4.164999917167839e-16,1.4352763048014084e-12
201,2.662047776674786e-12,1.036534755481984e-15,2.663084311430268e-12
202,1.387386231241051e-11,6.662215132435388e-14,1.3940484463734865e-11
203,6.421220321019356e-12,5.1949234048207575e-14,6.473169555067564e-12
204,6.22851455429234e-12,3.509280808846331e-14,6.2636073623808035e-12
205,6.5366024795537755e-12,3.6779769246364397e-14,6.57338224880014e-12
206,4.471906458770885e-12,1.138995414113615e-14,4.483296412912021e-12
207,7.87275722078648e-12,5.556257230902581e-15,7.878313478017383e-12
208,8.750498062813332e-12,5.2466117904596124e-15,8.755744674603791e-12
209,2.9426394380832055e-11,1.3534910730998983e-14,2.9439929291563054e-11
210,8.510309903190358e-12,6.232559937710808e-14,8.572635502567466e-12
