element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3527,1.0541726687380404e-07,1.054172681920006e-07,1.0817895138056599e-07,1.2504560040493923e-08
3528,1.5090973868411132e-07,1.509097374832553e-07,1.558598240758881e-07,7.957445536043678e-09
3529,2.999479876774523e-07,2.999479734090729e-07,3.075777643037092e-07,4.756951190141486e-08
3530,3.47276932673246e-07,3.472769376536949e-07,3.5568452364184077e-07,1.4341432930091588e-08
3531,3.064741202533511e-07,3.0647411592973705e-07,3.120061972863327e-07,1.4107599136370759e-08
3532,6.59026373504713e-08,6.590263887469542e-08,6.742521746168368e-08,2.312842310168196e-08
3533,3.0900754889551904e-08,3.090075488706831e-08,3.157829042073541e-08,8.037322241658121e-11
3534,6.741943622254327e-08,6.741943681120127e-08,6.886339655008317e-08,8.731280303840764e-09
3535,1.4458314252721967e-07,1.445831370696552e-07,1.4959314655993042e-07,3.774689336524626e-08
3536,6.631063088065148e-08,6.631063110634644e-08,6.774884449021658e-08,3.4036014409772667e-09
3537,3.06015335534327e-08,3.0601533696195125e-08,3.150381983156297e-08,4.665204965164792e-09
3538,1.0184212221719276e-07,1.0184212146614304e-07,1.0431633571242421e-07,7.374647134400487e-09
3539,7.504688677046013e-08,7.504688782868542e-08,7.696234815406594e-08,1.4100855042323045e-08
3540,6.784203274587059e-08,6.784203400645261e-08,6.970804733355618e-08,1.8581135505595064e-08
3541,8.298608277599027e-08,8.298608378243804e-08,8.485837213793637e-08,1.2127910104112796e-08
3542,2.0536245053713316e-07,2.0536244396250355e-07,2.1165163642080737e-07,3.2014760201808136e-08
3543,8.921587709544253e-08,8.921587458291189e-08,9.131734353164356e-08,2.816237115760922e-08
3544,8.616490060912196e-08,8.616490206531629e-08,8.798238110468309e-08,1.6900086908663624e-08
3545,1.0724556731218941e-07,1.072455674754418e-07,1.0952993484320039e-07,1.5222297387780465e-09
3546,6.28384705453699e-08,6.283847103043786e-08,6.434264169156638e-08,7.719283337656445e-09
3547,8.027728990591177e-08,8.027728787094665e-08,8.202359404128332e-08,2.5349200495197615e-08
3548,1.1236894118355923e-07,1.1236893956345709e-07,1.1472871943624277e-07,1.4417704097698981e-08
3549,1.1889272016632251e-07,1.1889272190525561e-07,1.2142092620107787e-07,1.4626068522188438e-08
3550,1.3891635696240137e-07,1.3891635785869945e-07,1.4187269303132695e-07,6.452070089860735e-09
3551,1.7173176205303634e-07,1.7173175560285897e-07,1.7716913762111802e-07,3.7559606232542646e-08
3552,1.8768287128815612e-07,1.876828721907623e-07,1.9366458307210405e-07,4.809209064113791e-09
3553,1.4475855585067946e-07,1.4475855594609888e-07,1.4904775881658579e-07,6.591626004754358e-10
3554,2.581195872674381e-07,2.5811958404743084e-07,2.6377100953280563e-07,1.2474865898244737e-08
