node,x,y,phase_d,source
285,-0.09017998725175858,-0.21525263786315918,-0.00020316340669523925,U
286,-0.033532410860061646,-0.23166923224925995,-0.00022708596952725202,U
287,0.021347567439079285,-0.23253078758716583,-0.00028783243033103645,U
288,0.08933228999376297,-0.22264836728572845,-0.0003943992196582258,U
289,0.13881511986255646,-0.2386292964220047,-0.00045296037569642067,U
290,0.26959896087646484,-0.23316219449043274,-0.0006476670387201011,U
291,0.3267299234867096,-0.23567655682563782,-0.0007227952009998262,U
292,0.37047430872917175,-0.22315441071987152,-0.0007901204517111182,U
293,0.43446996808052063,-0.22608430683612823,-0.0008704195497557521,U
294,-0.4357486367225647,-0.2769220173358917,-0.00011596934928093106,U
295,-0.35599255561828613,-0.2693004608154297,-0.00011672378604998812,U
296,-0.3234921395778656,-0.27679169178009033,-0.0001063919480657205,U
297,-0.2837178111076355,-0.26267990469932556,-0.00012119356688344851,U
298,-0.2209395319223404,-0.2917672097682953,-9.266937559004873e-05,U
299,-0.16049689054489136,-0.29661819338798523,-0.00010147313878405839,U
300,-0.0907401442527771,-0.2832234799861908,-0.00014272038242779672,U
301,-0.03938216716051102,-0.2835325002670288,-0.00018074692343361676,U
302,0.019884860143065453,-0.28838858008384705,-0.0002408926811767742,U
303,0.0777079313993454,-0.28242751955986023,-0.0003223661915399134,U
304,0.12848491966724396,-0.28567105531692505,-0.0003943710762541741,U
305,0.22085456550121307,-0.2962326407432556,-0.0005239701131358743,U
306,0.2674911320209503,-0.27532246708869934,-0.0006085353088565171,U
307,0.3058808743953705,-0.26507771015167236,-0.0006706711137667298,U
308,0.39014583826065063,-0.27652791142463684,-0.0007766059134155512,U
309,-0.4310270845890045,-0.3529423177242279,-4.285563045414165e-05,U
310,-0.3983064591884613,-0.34568503499031067,-4.483223528950475e-05,U
311,-0.3257851004600525,-0.31076720356941223,-7.107080455170944e-05,U
312,-0.2820996046066284,-0.3395736515522003,-4.616258593159728e-05,U
313,-0.2071239948272705,-0.3216816484928131,-6.915139238117263e-05,U
314,-0.16624405980110168,-0.33202406764030457,-7.290172652574256e-05,U
315,-0.1014145016670227,-0.36167529225349426,-8.748952677706257e-05,U
316,-0.021242676302790642,-0.33579784631729126,-0.00016640433750580996,U
317,0.0030538456048816442,-0.3193483054637909,-0.0002015357167692855,U
318,0.08096230775117874,-0.3420104682445526,-0.0002871024771593511,U
319,0.13832642138004303,-0.34931495785713196,-0.00036485312739387155,U
320,0.19427505135536194,-0.3403596580028534,-0.0004535423358902335,U
321,0.2743004858493805,-0.3300522267818451,-0.0005780956125818193,U
322,0.32816389203071594,-0.32402125000953674,-0.0006590233533643186,U
323,0.3770311772823334,-0.3240017890930176,-0.0007272736984305084,U
324,0.43101534247398376,-0.34989747405052185,-0.0007865703082643449,U
325,-0.4263872504234314,-0.3848506510257721,-2.0402738300617784e-05,U
326,-0.35325688123703003,-0.3913422226905823,-1.0755150469776709e-05,U
327,-0.28685322403907776,-0.38376614451408386,-1.6609865269856527e-05,U
328,-0.2212088704109192,-0.3709733486175537,-3.3424064895370975e-05,U
329,-0.17671261727809906,-0.37621009349823,-4.364826963865198e-05,U
330,-0.08166099339723587,-0.40119627118110657,-8.49536809255369e-05,U
331,-0.02200894057750702,-0.3797883689403534,-0.00014555924281012267,U
332,0.03157883137464523,-0.43050405383110046,-0.00018962786998599768,U
333,0.07061367481946945,-0.40164461731910706,-0.00024658540496602654,U
334,0.1258760690689087,-0.40154212713241577,-0.000322887470247224,U
335,0.19313891232013702,-0.36485806107521057,-0.0004374668060336262,U
336,0.25406399369239807,-0.3981587588787079,-0.0005119553534314036,U
337,0.3065127730369568,-0.3568044602870941,-0.0006085443310439587,U
338,0.3570782244205475,-0.3828731179237366,-0.0006675185286439955,U
339,-0.44829896092414856,-0.44585657119750977,4.15149588661734e-06,U
340,-0.3893507719039917,-0.42195719480514526,2.309300498382072e-06,U
341,-0.331712007522583,-0.46260520815849304,1.574498128320556e-05,U
342,-0.2887876033782959,-0.4230690002441406,1.8260311662743334e-06,U
343,-0.21267230808734894,-0.4570293128490448,-3.919918071915163e-06,U
344,-0.1659814566373825,-0.41927188634872437,-3.077927976846695e-05,U
345,-0.09098562598228455,-0.45462095737457275,-6.645894609391689e-05,U
346,0.025020278990268707,-0.4648580551147461,-0.00017616638797335327,U
347,0.14205558598041534,-0.46379387378692627,-0.00032998560345731676,U
348,0.2593497335910797,-0.46528059244155884,-0.0005012445035390556,U
349,0.42432543635368347,-0.42448678612709045,-0.0007467385148629546,U
350,0.4699271023273468,-0.007223206106573343,-0.0010123505489900708,U
351,0.43581876158714294,-0.004996640607714653,-0.0009741109097376466,U
352,0.18869642913341522,-0.004550205543637276,-0.0007439418695867062,U
353,0.2480950802564621,-0.004555612802505493,-0.0007855995208956301,U
354,0.37681448459625244,-0.0047911349684000015,-0.0009087987709790468,U
355,0.14414475858211517,-0.004551594145596027,-0.000721976044587791,U
356,0.16890031099319458,-0.004548749886453152,-0.0007330452790483832,U
357,0.17879478633403778,-0.004545683041214943,-0.0007382807671092451,U
358,0.1986047774553299,-0.004558916669338942,-0.0007500058854930103,U
359,0.20851287245750427,-0.00457273842766881,-0.0007564479019492865,U
360,0.21841315925121307,-0.004574204795062542,-0.000763244170229882,U
361,0.22830738127231598,-0.004568826407194138,-0.000770377111621201,U
362,0.23819710314273834,-0.00455861072987318,-0.000777830951847136,U
363,0.25800013542175293,-0.0045598456636071205,-0.0007936683250591159,U
364,0.2679089903831482,-0.004568574484437704,-0.0008020215318538249,U
365,0.277813583612442,-0.00458122231066227,-0.0008106392342597246,U
