node,x,y,d_lower_bound_F3
486,0.5,-0.4375,0.014028067258198385
487,-0.5,-0.425,0.0003667008210073955
488,-0.4875,-0.425,0.00035568585743318837
489,-0.475,-0.425,0.00033437413737809384
490,-0.4625,-0.425,0.0002935191167666284
491,-0.45,-0.425,0.00022850646901415025
492,-0.4375,-0.425,0.00016955417021156575
493,-0.425,-0.425,0.00012677225219185771
494,-0.4125,-0.425,0.00010371806746911298
495,-0.4,-0.425,7.981826946960906e-05
496,-0.3875,-0.425,4.170436061932259e-05
497,-0.375,-0.425,2.6967969404390617e-05
498,-0.3625,-0.425,2.2468883955925414e-05
499,-0.35,-0.425,2.5151156945994128e-05
500,-0.3375,-0.425,3.564459291057747e-05
501,-0.325,-0.425,5.7628588014181154e-05
502,-0.3125,-0.425,8.834199125022447e-05
503,-0.3,-0.425,0.00012153729358544498
504,-0.2875,-0.425,0.0001808472321113471
505,-0.275,-0.425,0.00023932421574516142
506,-0.2625,-0.425,0.00029947007143825834
507,-0.25,-0.425,0.00041623152083347686
508,-0.2375,-0.425,0.0005302307433610377
509,-0.22499999999999998,-0.425,0.0006128773429144085
510,-0.21250000000000002,-0.425,0.000772575676249983
511,-0.2,-0.425,0.0009420469530849777
512,-0.1875,-0.425,0.0010960717790085587
513,-0.175,-0.425,0.0012640760973752258
514,-0.16249999999999998,-0.425,0.001660192753548687
515,-0.15000000000000002,-0.425,0.0017048621827485204
516,-0.1375,-0.425,0.00191020714297707
517,-0.125,-0.425,0.0022853172360422225
518,-0.11249999999999999,-0.425,0.002570575564622834
519,-0.09999999999999998,-0.425,0.0028142727237694797
520,-0.08750000000000002,-0.425,0.0032089205980505987
521,-0.07500000000000001,-0.425,0.003603676606701943
522,-0.0625,-0.425,0.0039393539387638805
523,-0.04999999999999999,-0.425,0.004307609659080458
524,-0.03749999999999998,-0.425,0.00477722854215292
525,-0.025000000000000022,-0.425,0.005181852389174179
526,-0.012500000000000011,-0.425,0.005569805948553035
527,0.0,-0.425,0.006361903831446804
528,0.012499999999999956,-0.425,0.006454124256025276
529,0.025000000000000022,-0.425,0.0068142951760648595
530,0.03749999999999998,-0.425,0.007283008833501329
531,0.050000000000000044,-0.425,0.007664561771691515
532,0.0625,-0.425,0.008033568631732844
533,0.07499999999999996,-0.425,0.008487385634832575
534,0.08750000000000002,-0.425,0.008806601699758325
535,0.09999999999999998,-0.425,0.009164180695291674
536,0.11250000000000004,-0.425,0.009612732572338113
537,0.125,-0.425,0.009780201849362832
538,0.13749999999999996,-0.425,0.01004510232877337
539,0.15000000000000002,-0.425,0.010596854899223199
540,0.16249999999999998,-0.425,0.010631472851857452
541,0.17500000000000004,-0.425,0.01080398779005926
542,0.1875,-0.425,0.011056758724903004
543,0.19999999999999996,-0.425,0.011233545892310275
544,0.21250000000000002,-0.425,0.011349642921175514
545,0.22499999999999998,-0.425,0.011533111442097137
546,0.23750000000000004,-0.425,0.011650297069620995
547,0.25,-0.425,0.011746619420522936
548,0.26249999999999996,-0.425,0.011877965062755999
549,0.275,-0.425,0.01196389378790986
550,0.2875,-0.425,0.012047535435409871
551,0.30000000000000004,-0.425,0.012208471975369988
552,0.3125,-0.425,0.012221130138355596
553,0.32499999999999996,-0.425,0.012278719172757472
554,0.3375,-0.425,0.01236981216719089
555,0.35,-0.425,0.012518707222475948
556,0.36250000000000004,-0.425,0.012543669213057633
557,0.375,-0.425,0.012626807054419388
558,0.38749999999999996,-0.425,0.012854215528696459
559,0.4,-0.425,0.01286263468724485
560,0.4125,-0.425,0.01296202893517976
561,0.42500000000000004,-0.425,0.013143742039413051
562,0.4375,-0.425,0.013330433150316663
563,0.44999999999999996,-0.425,0.013449440946852038
564,0.4625,-0.425,0.013664487522261274
565,0.475,-0.425,0.013874780802385191
566,0.48750000000000004,-0.425,0.013931225640342035
567,0.5,-0.425,0.013948095153317193
568,-0.5,-0.4125,0.00036369735277893406
569,-0.4875,-0.4125,0.0003534033835014674
570,-0.475,-0.4125,0.0003315165592295162
571,-0.4625,-0.4125,0.0002789694575770789
572,-0.45,-0.4125,0.00021482892766702607
573,-0.4375,-0.4125,0.00016876609437393845
574,-0.425,-0.4125,0.00015025167267890304
575,-0.4125,-0.4125,9.539232852335947e-05
576,-0.4,-0.4125,6.185349236531324e-05
577,-0.3875,-0.4125,4.013346809594265e-05
578,-0.375,-0.4125,2.5879897720753868e-05
579,-0.3625,-0.4125,2.1287618002131035e-05
