element,integration_point,H_F3
57,3,0.0010257640671210504
57,4,0.0010163085050143477
58,1,0.0010325166520338447
58,2,0.0010411054045787267
58,3,0.0010410956100470633
58,4,0.00103250710158992
59,1,0.001047157711530607
59,2,0.0010549928010926068
59,3,0.0010549821568865026
59,4,0.00104714724578686
60,1,0.0010604287472497527
60,2,0.001067553937755213
60,3,0.0010675429666238663
60,4,0.0010604179097672786
61,1,0.0010724294306687684
61,2,0.0010789108631733605
61,3,0.0010788989785804198
61,4,0.001072417609125803
62,1,0.0010833193554345354
62,2,0.0010892966035175205
62,3,0.001089284678928267
62,4,0.0010833074656324056
63,1,0.0010933386128882743
63,2,0.0010988990661338083
63,3,0.0010988870291577222
63,4,0.0010933265819406234
64,1,0.0011026404350325215
64,2,0.001107842274142159
64,3,0.001107829782701505
64,4,0.0011026279075162892
65,1,0.0011113646208934943
65,2,0.0011163400074790512
65,3,0.0011163278408916862
65,4,0.0011113524129655438
66,1,0.0011197608181719558
66,2,0.0011246637295054484
66,3,0.0011246514285355572
66,4,0.0011197484575037843
67,1,0.0011280703151951735
67,2,0.001132962715242925
67,3,0.0011329501353357315
67,4,0.001128057649402042
68,1,0.0011364361705739757
68,2,0.001141462777487973
68,3,0.0011414500914857996
68,4,0.001136423384837595
69,1,0.0011451230901839782
69,2,0.0011504514861436165
69,3,0.0011504383053008492
69,4,0.0011451097757133211
70,1,0.0011543860260185043
70,2,0.0011600828806025672
70,3,0.0011600694086607044
70,4,0.0011543723930562588
71,1,0.0011643749532861901
71,2,0.0011706117149461236
71,3,0.0011705979411917276
71,4,0.0011643610064099863
72,1,0.001175396946705275
72,2,0.001182358152486879
72,3,0.0011823439742917957
72,4,0.001175382534066642
73,1,0.001187732967357377
73,2,0.0011955158974239048
73,3,0.0011955015337554195
73,4,0.0011877183267192076
74,1,0.0012015667604931724
74,2,0.001210325132622242
74,3,0.0012103106644104442
74,4,0.0012015519339318643
75,1,0.0012171934538329641
75,2,0.0012271745970886022
75,3,0.0012271604052268043
75,4,0.0012171788311579864
76,1,0.0012349933350544887
76,2,0.0012463287045466982
76,3,0.0012463152432644403
76,4,0.0012349793793512479
77,1,0.001255197608119898
77,2,0.0012680454589831794
77,3,0.0012680332551212583
77,4,0.001255184738541344
78,1,0.0012781269080768527
