node,x,y,d_F3,d_D3D_A1,d_update
4335,-0.4875,0.16249999999999998,8.000751188181064e-05,8.000751188181064e-05,0.0
4336,-0.475,0.16249999999999998,8.039146336202908e-05,8.039146336202908e-05,0.0
4337,-0.4625,0.16249999999999998,8.062104962281337e-05,8.062104962281337e-05,0.0
4338,-0.45,0.16249999999999998,8.228807812086633e-05,8.228807812086633e-05,0.0
4339,-0.4375,0.16249999999999998,8.35559484669201e-05,8.35559484669201e-05,0.0
4340,-0.425,0.16249999999999998,8.772965455318556e-05,8.772965455318556e-05,0.0
4341,-0.4125,0.16249999999999998,8.987000769925888e-05,8.987000769925888e-05,0.0
4342,-0.4,0.16249999999999998,9.158308247762992e-05,9.158308247762992e-05,0.0
4343,-0.3875,0.16249999999999998,9.320484766360936e-05,9.320484766360936e-05,0.0
4344,-0.375,0.16249999999999998,9.36196854767041e-05,9.36196854767041e-05,0.0
4345,-0.3625,0.16249999999999998,9.267648586499627e-05,9.267648586499627e-05,0.0
4346,-0.35,0.16249999999999998,9.160611490143574e-05,9.160611490143574e-05,0.0
4347,-0.3375,0.16249999999999998,9.332831157628457e-05,9.332831157628457e-05,0.0
4348,-0.325,0.16249999999999998,8.319745601143499e-05,8.319745601143499e-05,0.0
4349,-0.3125,0.16249999999999998,7.798574391653413e-05,7.798574391653413e-05,0.0
4350,-0.3,0.16249999999999998,7.246766264470156e-05,7.246766264470156e-05,0.0
4351,-0.2875,0.16249999999999998,6.546022656834013e-05,6.546022656834013e-05,0.0
4352,-0.275,0.16249999999999998,6.148648803400056e-05,6.148648803400056e-05,0.0
4353,-0.2625,0.16249999999999998,5.982519346789991e-05,5.982519346789991e-05,0.0
4354,-0.25,0.16249999999999998,6.148955952237108e-05,6.148955952237108e-05,0.0
4355,-0.2375,0.16249999999999998,7.310295705070916e-05,7.310295705070916e-05,0.0
4356,-0.22499999999999998,0.16249999999999998,9.72908378905551e-05,9.72908378905551e-05,0.0
4357,-0.21250000000000002,0.16249999999999998,0.00013385648973009118,0.00013385648973009118,0.0
4358,-0.2,0.16249999999999998,0.0001920211750492208,0.0001920211750492208,0.0
4359,-0.1875,0.16249999999999998,0.00029390982552073784,0.00029390982552073784,0.0
4360,-0.175,0.16249999999999998,0.00039763298213523477,0.00039763298213523477,0.0
4361,-0.16249999999999998,0.16249999999999998,0.0005899728000718326,0.0005899728000718326,0.0
4362,-0.15000000000000002,0.16249999999999998,0.0007720638496170118,0.0007720638496170118,0.0
4363,-0.1375,0.16249999999999998,0.001058025784506084,0.001058025784506084,0.0
4364,-0.125,0.16249999999999998,0.0014197888174511206,0.0014197888174511206,0.0
4365,-0.11249999999999999,0.16249999999999998,0.001905857124282595,0.001905857124282595,0.0
4366,-0.09999999999999998,0.16249999999999998,0.00249193488432617,0.00249193488432617,0.0
4367,-0.08750000000000002,0.16249999999999998,0.003173182126433146,0.003173182126433146,0.0
4368,-0.07500000000000001,0.16249999999999998,0.0039878787853392834,0.0040774598439487775,8.958105860949403e-05
4369,-0.0625,0.16249999999999998,0.0056775470306654075,0.0056775470306654075,0.0
4370,-0.04999999999999999,0.16249999999999998,0.005994021438872088,0.005994021438872088,0.0
4371,-0.03749999999999998,0.16249999999999998,0.007017393382570684,0.007017393382570684,0.0
4372,-0.025000000000000022,0.16249999999999998,0.008082978533482752,0.008082978533482752,0.0
4373,-0.012500000000000011,0.16249999999999998,0.009202760539534796,0.009202760539534796,0.0
4374,0.0,0.16249999999999998,0.010262066193830285,0.010262066193830285,0.0
4375,0.012499999999999956,0.16249999999999998,0.011275198015920682,0.011275198015920682,0.0
4376,0.025000000000000022,0.16249999999999998,0.012168553787416051,0.012168553787416051,0.0
4377,0.03749999999999998,0.16249999999999998,0.012829409103317063,0.012829409103317063,0.0
4378,0.050000000000000044,0.16249999999999998,0.013337021352408034,0.013337021352408034,0.0
4379,0.0625,0.16249999999999998,0.013675342095953811,0.013675342095953811,0.0
4380,0.07499999999999996,0.16249999999999998,0.013852736407368794,0.013852736407368794,0.0
4381,0.08750000000000002,0.16249999999999998,0.01393814366778226,0.01393814366778226,0.0
4382,0.09999999999999998,0.16249999999999998,0.013911749231690687,0.013911749231690687,0.0
4383,0.11250000000000004,0.16249999999999998,0.013826375408089921,0.013826375408089921,0.0
4384,0.125,0.16249999999999998,0.013687061838855149,0.013687061838855149,0.0
4385,0.13749999999999996,0.16249999999999998,0.013549565219386103,0.013549565219386103,0.0
4386,0.15000000000000002,0.16249999999999998,0.013286008806046268,0.013286008806046268,0.0
4387,0.16249999999999998,0.16249999999999998,0.013083357711656637,0.013083357711656637,0.0
4388,0.17500000000000004,0.16249999999999998,0.012857805709507958,0.012857805709507958,0.0
4389,0.1875,0.16249999999999998,0.012666550147365563,0.012666550147365563,0.0
4390,0.19999999999999996,0.16249999999999998,0.012475018957322767,0.012475018957322767,0.0
4391,0.21250000000000002,0.16249999999999998,0.01228876138227683,0.01228876138227683,0.0
4392,0.22499999999999998,0.16249999999999998,0.012146244318010674,0.012146244318010674,0.0
4393,0.23750000000000004,0.16249999999999998,0.011974617708940608,0.011974617708940608,0.0
4394,0.25,0.16249999999999998,0.011836915339543347,0.011836915339543347,0.0
4395,0.26249999999999996,0.16249999999999998,0.011738391925406256,0.011738391925406256,0.0
